受付_年月日,全国地方公共団体コード,都道府県名,市区町村名,相談件数
2020-01-31T00:00:00,080004,茨城県,,114
2020-02-01T00:00:00,080004,茨城県,,0
2020-02-02T00:00:00,080004,茨城県,,0
2020-02-03T00:00:00,080004,茨城県,,136
2020-02-04T00:00:00,080004,茨城県,,107
2020-02-05T00:00:00,080004,茨城県,,85
2020-02-06T00:00:00,080004,茨城県,,75
2020-02-07T00:00:00,080004,茨城県,,72
2020-02-08T00:00:00,080004,茨城県,,0
2020-02-09T00:00:00,080004,茨城県,,0
2020-02-10T00:00:00,080004,茨城県,,76
2020-02-11T00:00:00,080004,茨城県,,0
2020-02-12T00:00:00,080004,茨城県,,55
2020-02-13T00:00:00,080004,茨城県,,77
2020-02-14T00:00:00,080004,茨城県,,154
2020-02-15T00:00:00,080004,茨城県,,0
2020-02-16T00:00:00,080004,茨城県,,0
2020-02-17T00:00:00,080004,茨城県,,295
2020-02-18T00:00:00,080004,茨城県,,307
2020-02-19T00:00:00,080004,茨城県,,256
2020-02-20T00:00:00,080004,茨城県,,230
2020-02-21T00:00:00,080004,茨城県,,281
2020-02-22T00:00:00,080004,茨城県,,0
2020-02-23T00:00:00,080004,茨城県,,0
2020-02-24T00:00:00,080004,茨城県,,0
2020-02-25T00:00:00,080004,茨城県,,505
2020-02-26T00:00:00,080004,茨城県,,451
2020-02-27T00:00:00,080004,茨城県,,456
2020-02-28T00:00:00,080004,茨城県,,396
2020-02-29T00:00:00,080004,茨城県,,0
2020-03-01T00:00:00,080004,茨城県,,0
2020-03-02T00:00:00,080004,茨城県,,585
2020-03-03T00:00:00,080004,茨城県,,440
2020-03-04T00:00:00,080004,茨城県,,422
2020-03-05T00:00:00,080004,茨城県,,369
2020-03-06T00:00:00,080004,茨城県,,396
2020-03-07T00:00:00,080004,茨城県,,0
2020-03-08T00:00:00,080004,茨城県,,0
2020-03-09T00:00:00,080004,茨城県,,514
2020-03-10T00:00:00,080004,茨城県,,387
2020-03-11T00:00:00,080004,茨城県,,303
2020-03-12T00:00:00,080004,茨城県,,319
2020-03-13T00:00:00,080004,茨城県,,325
2020-03-14T00:00:00,080004,茨城県,,0
2020-03-15T00:00:00,080004,茨城県,,0
2020-03-16T00:00:00,080004,茨城県,,442
2020-03-17T00:00:00,080004,茨城県,,593
2020-03-18T00:00:00,080004,茨城県,,809
2020-03-19T00:00:00,080004,茨城県,,1058
2020-03-20T00:00:00,080004,茨城県,,204
2020-03-21T00:00:00,080004,茨城県,,125
2020-03-22T00:00:00,080004,茨城県,,192
2020-03-23T00:00:00,080004,茨城県,,688
2020-03-24T00:00:00,080004,茨城県,,603
2020-03-25T00:00:00,080004,茨城県,,681
2020-03-26T00:00:00,080004,茨城県,,768
2020-03-27T00:00:00,080004,茨城県,,803
2020-03-28T00:00:00,080004,茨城県,,260
2020-03-29T00:00:00,080004,茨城県,,259
2020-03-30T00:00:00,080004,茨城県,,1234
2020-03-31T00:00:00,080004,茨城県,,1006
2020-04-01T00:00:00,080004,茨城県,,1199
2020-04-02T00:00:00,080004,茨城県,,1368
2020-04-03T00:00:00,080004,茨城県,,1389
2020-04-04T00:00:00,080004,茨城県,,265
2020-04-05T00:00:00,080004,茨城県,,278
2020-04-06T00:00:00,080004,茨城県,,1722
2020-04-07T00:00:00,080004,茨城県,,1638
2020-04-08T00:00:00,080004,茨城県,,1485
2020-04-09T00:00:00,080004,茨城県,,1441
2020-04-10T00:00:00,080004,茨城県,,1313
2020-04-11T00:00:00,080004,茨城県,,169
2020-04-12T00:00:00,080004,茨城県,,257
2020-04-13T00:00:00,080004,茨城県,,1804
2020-04-14T00:00:00,080004,茨城県,,1316
2020-04-15T00:00:00,080004,茨城県,,1357
2020-04-16T00:00:00,080004,茨城県,,1396
2020-04-17T00:00:00,080004,茨城県,,1350
2020-04-18T00:00:00,080004,茨城県,,251
2020-04-19T00:00:00,080004,茨城県,,245
2020-04-20T00:00:00,080004,茨城県,,1739
2020-04-21T00:00:00,080004,茨城県,,1375
2020-04-22T00:00:00,080004,茨城県,,1261
2020-04-23T00:00:00,080004,茨城県,,1032
2020-04-24T00:00:00,080004,茨城県,,1219
2020-04-25T00:00:00,080004,茨城県,,278
2020-04-26T00:00:00,080004,茨城県,,264
2020-04-27T00:00:00,080004,茨城県,,1205
2020-04-28T00:00:00,080004,茨城県,,872
2020-04-29T00:00:00,080004,茨城県,,294
2020-04-30T00:00:00,080004,茨城県,,1092
2020-05-01T00:00:00,080004,茨城県,,850
2020-05-02T00:00:00,080004,茨城県,,287
2020-05-03T00:00:00,080004,茨城県,,237
2020-05-04T00:00:00,080004,茨城県,,298
2020-05-05T00:00:00,080004,茨城県,,256
2020-05-06T00:00:00,080004,茨城県,,307
2020-05-07T00:00:00,080004,茨城県,,958
2020-05-08T00:00:00,080004,茨城県,,662
2020-05-09T00:00:00,080004,茨城県,,267
2020-05-10T00:00:00,080004,茨城県,,251
2020-05-11T00:00:00,080004,茨城県,,841
2020-05-12T00:00:00,080004,茨城県,,594
2020-05-13T00:00:00,080004,茨城県,,518
2020-05-14T00:00:00,080004,茨城県,,519
2020-05-15T00:00:00,080004,茨城県,,489
2020-05-16T00:00:00,080004,茨城県,,165
2020-05-17T00:00:00,080004,茨城県,,183
2020-05-18T00:00:00,080004,茨城県,,509
2020-05-19T00:00:00,080004,茨城県,,354
2020-05-20T00:00:00,080004,茨城県,,337
2020-05-21T00:00:00,080004,茨城県,,284
2020-05-22T00:00:00,080004,茨城県,,238
2020-05-23T00:00:00,080004,茨城県,,129
2020-05-24T00:00:00,080004,茨城県,,139
2020-05-25T00:00:00,080004,茨城県,,368
2020-05-26T00:00:00,080004,茨城県,,286
2020-05-27T00:00:00,080004,茨城県,,260
2020-05-28T00:00:00,080004,茨城県,,224
2020-05-29T00:00:00,080004,茨城県,,252
2020-05-30T00:00:00,080004,茨城県,,102
2020-05-31T00:00:00,080004,茨城県,,100
2020-06-01T00:00:00,080004,茨城県,,294
2020-06-02T00:00:00,080004,茨城県,,295
