実施_年月日,全国地方公共団体コード,都道府県名,市区町村名,検査実施_人数,（感染者数）
2020-01-26T00:00:00,080004,茨城県,,1,0
2020-01-27T00:00:00,080004,茨城県,,1,0
2020-01-28T00:00:00,080004,茨城県,,1,0
2020-01-29T00:00:00,080004,茨城県,,2,0
2020-01-30T00:00:00,080004,茨城県,,1,0
2020-01-31T00:00:00,080004,茨城県,,3,0
2020-02-01T00:00:00,080004,茨城県,,1,0
2020-02-02T00:00:00,080004,茨城県,,0,0
2020-02-03T00:00:00,080004,茨城県,,0,0
2020-02-04T00:00:00,080004,茨城県,,3,0
2020-02-05T00:00:00,080004,茨城県,,1,0
2020-02-06T00:00:00,080004,茨城県,,1,0
2020-02-07T00:00:00,080004,茨城県,,1,0
2020-02-08T00:00:00,080004,茨城県,,0,0
2020-02-09T00:00:00,080004,茨城県,,0,0
2020-02-10T00:00:00,080004,茨城県,,1,0
2020-02-11T00:00:00,080004,茨城県,,0,0
2020-02-12T00:00:00,080004,茨城県,,0,0
2020-02-13T00:00:00,080004,茨城県,,1,0
2020-02-14T00:00:00,080004,茨城県,,5,0
2020-02-15T00:00:00,080004,茨城県,,5,0
2020-02-16T00:00:00,080004,茨城県,,6,0
2020-02-17T00:00:00,080004,茨城県,,14,0
2020-02-18T00:00:00,080004,茨城県,,6,0
2020-02-19T00:00:00,080004,茨城県,,6,0
2020-02-20T00:00:00,080004,茨城県,,13,0
2020-02-21T00:00:00,080004,茨城県,,14,0
2020-02-22T00:00:00,080004,茨城県,,10,0
2020-02-23T00:00:00,080004,茨城県,,5,0
2020-02-24T00:00:00,080004,茨城県,,3,0
2020-02-25T00:00:00,080004,茨城県,,14,0
2020-02-26T00:00:00,080004,茨城県,,16,0
2020-02-27T00:00:00,080004,茨城県,,27,0
2020-02-28T00:00:00,080004,茨城県,,29,0
2020-02-29T00:00:00,080004,茨城県,,27,0
2020-03-01T00:00:00,080004,茨城県,,9,0
2020-03-02T00:00:00,080004,茨城県,,18,0
2020-03-03T00:00:00,080004,茨城県,,19,0
2020-03-04T00:00:00,080004,茨城県,,29,0
2020-03-05T00:00:00,080004,茨城県,,21,0
2020-03-06T00:00:00,080004,茨城県,,31,0
2020-03-07T00:00:00,080004,茨城県,,23,0
2020-03-08T00:00:00,080004,茨城県,,12,0
2020-03-09T00:00:00,080004,茨城県,,13,0
2020-03-10T00:00:00,080004,茨城県,,31,0
2020-03-11T00:00:00,080004,茨城県,,25,0
2020-03-12T00:00:00,080004,茨城県,,22,0
2020-03-13T00:00:00,080004,茨城県,,28,0
2020-03-14T00:00:00,080004,茨城県,,16,0
2020-03-15T00:00:00,080004,茨城県,,5,0
2020-03-16T00:00:00,080004,茨城県,,12,0
2020-03-17T00:00:00,080004,茨城県,,18,1
2020-03-18T00:00:00,080004,茨城県,,24,1
2020-03-19T00:00:00,080004,茨城県,,32,1
2020-03-20T00:00:00,080004,茨城県,,26,0
2020-03-21T00:00:00,080004,茨城県,,13,0
2020-03-22T00:00:00,080004,茨城県,,9,0
2020-03-23T00:00:00,080004,茨城県,,15,2
2020-03-24T00:00:00,080004,茨城県,,71,5
2020-03-25T00:00:00,080004,茨城県,,27,0
2020-03-26T00:00:00,080004,茨城県,,56,0
2020-03-27T00:00:00,080004,茨城県,,51,3
2020-03-28T00:00:00,080004,茨城県,,69,3
2020-03-29T00:00:00,080004,茨城県,,40,0
2020-03-30T00:00:00,080004,茨城県,,40,4
2020-03-31T00:00:00,080004,茨城県,,112,4
2020-04-01T00:00:00,080004,茨城県,,125,18
2020-04-02T00:00:00,080004,茨城県,,104,2
2020-04-03T00:00:00,080004,茨城県,,124,10
2020-04-04T00:00:00,080004,茨城県,,123,5
2020-04-05T00:00:00,080004,茨城県,,44,5
2020-04-06T00:00:00,080004,茨城県,,126,7
2020-04-07T00:00:00,080004,茨城県,,132,6
2020-04-08T00:00:00,080004,茨城県,,97,0
2020-04-09T00:00:00,080004,茨城県,,117,4
2020-04-10T00:00:00,080004,茨城県,,85,10
2020-04-11T00:00:00,080004,茨城県,,160,10
2020-04-12T00:00:00,080004,茨城県,,32,8
2020-04-13T00:00:00,080004,茨城県,,44,1
2020-04-14T00:00:00,080004,茨城県,,122,6
2020-04-15T00:00:00,080004,茨城県,,113,3
2020-04-16T00:00:00,080004,茨城県,,157,4
2020-04-17T00:00:00,080004,茨城県,,85,8
2020-04-18T00:00:00,080004,茨城県,,91,4
2020-04-19T00:00:00,080004,茨城県,,53,4
2020-04-20T00:00:00,080004,茨城県,,67,4
2020-04-21T00:00:00,080004,茨城県,,119,3
2020-04-22T00:00:00,080004,茨城県,,88,5
2020-04-23T00:00:00,080004,茨城県,,108,2
2020-04-24T00:00:00,080004,茨城県,,78,4
2020-04-25T00:00:00,080004,茨城県,,115,3
2020-04-26T00:00:00,080004,茨城県,,46,1
2020-04-27T00:00:00,080004,茨城県,,32,0
2020-04-28T00:00:00,080004,茨城県,,83,1
2020-04-29T00:00:00,080004,茨城県,,107,1
2020-04-30T00:00:00,080004,茨城県,,59,0
2020-05-01T00:00:00,080004,茨城県,,92,2
2020-05-02T00:00:00,080004,茨城県,,84,0
2020-05-03T00:00:00,080004,茨城県,,56,0
2020-05-04T00:00:00,080004,茨城県,,39,2
2020-05-05T00:00:00,080004,茨城県,,38,1
2020-05-06T00:00:00,080004,茨城県,,44,0
2020-05-07T00:00:00,080004,茨城県,,38,0
2020-05-08T00:00:00,080004,茨城県,,50,0
2020-05-09T00:00:00,080004,茨城県,,68,0
2020-05-10T00:00:00,080004,茨城県,,28,0
2020-05-11T00:00:00,080004,茨城県,,34,0
2020-05-12T00:00:00,080004,茨城県,,74,0
2020-05-13T00:00:00,080004,茨城県,,80,0
2020-05-14T00:00:00,080004,茨城県,,61,0
2020-05-15T00:00:00,080004,茨城県,,68,0
2020-05-16T00:00:00,080004,茨城県,,64,0
2020-05-17T00:00:00,080004,茨城県,,26,0
2020-05-18T00:00:00,080004,茨城県,,9,0
2020-05-19T00:00:00,080004,茨城県,,44,0
2020-05-20T00:00:00,080004,茨城県,,46,0
2020-05-21T00:00:00,080004,茨城県,,46,0
2020-05-22T00:00:00,080004,茨城県,,39,0
2020-05-23T00:00:00,080004,茨城県,,27,0
2020-05-24T00:00:00,080004,茨城県,,9,0
2020-05-25T00:00:00,080004,茨城県,,6,0
2020-05-26T00:00:00,080004,茨城県,,37,0
2020-05-27T00:00:00,080004,茨城県,,31,0
2020-05-28T00:00:00,080004,茨城県,,30,0
2020-05-29T00:00:00,080004,茨城県,,27,0
2020-05-30T00:00:00,080004,茨城県,,31,0
2020-05-31T00:00:00,080004,茨城県,,1,0
2020-06-01T00:00:00,080004,茨城県,,7,0
2020-06-02T00:00:00,080004,茨城県,,35,0
